institute,record_id,gender,country_origin,citizenship,months_postdoc,job_sector,job_type,specifics,job_country,job_state,degree,degree_field,degree_cip,years
NIEHS,366,Female,United States,US,38.2,Government agency,Professional staff,Primarily basic research,United States,North Carolina,PhD,Unknown,Unknown,2000-2004
NIEHS,413,Female,United States,US,80.3,Government agency,Professional staff,Primarily basic research,United States,North Carolina,PhD,Unknown,Unknown,2000-2004
NIEHS,466,Female,United States,US,38.6,Government agency,Professional staff,Science administration/project management,United States,North Carolina,PhD,environmental health sciences,Environmental Science,2000-2004
NIEHS,478,Female,United States,US,68.2,Government agency,Professional staff,Primarily basic research,United States,North Carolina,PhD,Biochemistry,Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,485,Female,United States,US,98.9,Government agency,Professional staff,Science administration/project management,United States,North Carolina,PhD,Human Genetics,Genetics/Genomics,2000-2004
NIEHS,496,Female,United States,US,59.2,Government agency,Professional staff,Primarily applied research,United States,North Carolina,PhD,Toxicology,Pharmacology/Toxicology,2010-2014
NIEHS,535,Female,United States,US,1.7,Government agency,Professional staff,Primarily applied research,United States,North Carolina,PhD,Toxicology,Pharmacology/Toxicology,2010-2014
NIEHS,536,Female,United States,US,57.9,Government agency,Professional staff,Grants management,United States,North Carolina,PhD,Biochemistry and Biophysics,Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,640,Female,United States,US,85.9,Government agency,Professional staff,Primarily applied research,United States,North Carolina,PhD,Epidemiology,Epidemiology,2010-2014
NIEHS,736,Female,United States,US,48,Government agency,Professional staff,Primarily applied research,United States,North Carolina,MD;PhD,Human Physiology,General Biology/Biomedical Science,2000-2004
NIEHS,803,Female,United States,US,61.5,Government agency,Professional staff,Primarily applied research,United States,North Carolina,PhD,Toxicology,Pharmacology/Toxicology,2005-2009
NIEHS,844,Female,United States,US,44.6,Government agency,Professional staff,Primarily basic research,United States,North Carolina,PhD,Unknown,Unknown,2000-2004
NIEHS,938,Female,United States,US,31.9,Government agency,Professional staff,Grants management,United States,North Carolina,PhD,Pharmacology and Toxicology,Pharmacology/Toxicology,2015-2019
NIEHS,959,Female,United States,US,8.7,Government agency,Professional staff,Primarily applied research,United States,North Carolina,MD;PhD,Epidemiology,Epidemiology,2015-2019
NIEHS,997,Female,United States,US,92.4,Government agency,Professional staff,Primarily basic research,United States,North Carolina,PhD,Biochemistry and Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2015-2019
NIEHS,1019,Female,United States,US,62.4,Government agency,Professional staff,Primarily applied research,United States,North Carolina,PhD,Epidemiology,Epidemiology,2015-2019
NIEHS,1039,Female,United States,US,25.9,Government agency,Professional staff,Science administration/project management,United States,North Carolina,PhD,Toxicology,Pharmacology/Toxicology,2015-2019
NIEHS,1043,Female,United States,US,43.2,Government agency,Professional staff,Primarily applied research,United States,North Carolina,PhD,Toxicology,Pharmacology/Toxicology,2015-2019
NIEHS,791,Female,United States,US,44.8,Government agency,Professional staff,Computation/informatics,United States,Wisconsin,MD;PhD,Epidemiology and Health Statistics,Epidemiology,2010-2014
NIEHS,1023,Male,United States,US,44.2,Government agency,Professional staff,Primarily basic research,France,Unknown,PhD,Unknown,Unknown,2015-2019
NIEHS,613,Male,United States,US,65.4,Government agency,Professional staff,Primarily applied research,United States,Arkansas,PhD,Molecular Cell Biology,Biochemistry/Cellular Biology/Molecular Biology,2010-2014
NIEHS,29,Male,United States,US,24,Government agency,Professional staff,Primarily applied research,United States,District of Columbia,PhD,Biochemistry,Biochemistry/Cellular Biology/Molecular Biology,2010-2014
NIEHS,71,Male,United States,US,16.4,Government agency,Professional staff,Primarily applied research,United States,District of Columbia,PhD,Unknown,Unknown,2005-2009
NIEHS,211,Male,United States,US,49,Government agency,Professional staff,Grants management,United States,District of Columbia,PhD,Unknown,Unknown,2005-2009
NIEHS,403,Male,United States,US,48,Government agency,Professional staff,Primarily applied research,United States,District of Columbia,PhD,Pharmaceutical Sciences,Pharmacology/Toxicology,2010-2014
NIEHS,838,Male,United States,US,31.3,Government agency,Professional staff,Primarily applied research,United States,District of Columbia,PhD,Unknown,Unknown,2000-2004
NIEHS,425,Male,United States,US,28.4,Government agency,Professional staff,Regulatory affairs,United States,Georgia,PhD,Toxicology,Pharmacology/Toxicology,2005-2009
NIEHS,244,Male,United States,US,84.3,Government agency,Professional staff,Primarily basic research,United States,Maryland,PhD,Biology/Biochemistry,Biochemistry/Cellular Biology/Molecular Biology,2010-2014
NIEHS,974,Male,United States,US,22.7,Government agency,Professional staff,Computation/Informatics,United States,New Mexico,PhD,Statistics,Computational Biology/Biostatistics/Bioinformatics,2015-2019
NIEHS,23,Male,United States,US,49.8,Government agency,Professional staff,Computation/informatics,United States,North Carolina,PhD,Pharmacology,Pharmacology/Toxicology,2005-2009
NIEHS,34,Male,United States,US,84,Government agency,Professional staff,Primarily basic research,United States,North Carolina,PhD,Unknown,Unknown,2010-2014
NIEHS,52,Male,United States,US,13.6,Government agency,Professional staff,Primarily applied research,United States,North Carolina,PhD,Toxicology,Pharmacology/Toxicology,2005-2009
NIEHS,86,Male,United States,US,88,Government agency,Professional staff,Primarily basic research,United States,North Carolina,PhD,Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2000-2004
NIEHS,102,Male,United States,US,25.6,Government agency,Professional staff,Primarily applied research,United States,North Carolina,DVM;PhD,Cell Biology,Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,191,Male,United States,US,92.2,Government agency,Professional staff,Primarily basic research,United States,North Carolina,PhD,Pharmacology,Pharmacology/Toxicology,2010-2014
NIEHS,207,Male,United States,US,66.8,Government agency,Professional staff,Primarily applied research,United States,North Carolina,PhD,Chemistry,Chemistry,2005-2009
NIEHS,212,Male,United States,US,37.3,Government agency,Professional staff,Primarily applied research,United States,North Carolina,PhD,Unknown,Unknown,2005-2009
NIEHS,262,Male,United States,US,41.4,Government agency,Professional staff,Primarily basic research,United States,North Carolina,PhD,Genetics and Molecular Biology,Genetics/Genomics,2010-2014
NIEHS,263,Male,United States,US,52,Government agency,Professional staff,Primarily basic research,United States,North Carolina,PhD,Unknown,Unknown,2010-2014
NIEHS,267,Male,United States,US,29.4,Government agency,Professional staff,Primarily applied research,United States,North Carolina,PhD,Immunology,Microbiology/Immunology,2010-2014
NIEHS,456,Male,United States,US,56.3,Government agency,Professional staff,Primarily basic research,United States,North Carolina,PhD,Biochemistry,Biochemistry/Cellular Biology/Molecular Biology,2000-2004
NIEHS,560,Male,United States,US,83.6,Government agency,Professional staff,Computation/informatics,United States,North Carolina,PhD,Mathematics,Mathematics/Computer Science/Physics,2005-2009
NIEHS,570,Male,United States,US,59.9,Government agency,Professional staff,Primarily basic research,United States,North Carolina,PhD,Biochemistry,Biochemistry/Cellular Biology/Molecular Biology,2000-2004
NIEHS,627,Male,United States,US,63.6,Government agency,Professional staff,Primarily basic research,United States,North Carolina,PhD,Unknown,Unknown,2000-2004
NIEHS,658,Male,United States,US,50.6,Government agency,Professional staff,Grants management,United States,North Carolina,PhD,Nutrition and Biomedical sciences,Biochemistry/Cellular Biology/Molecular Biology,2010-2014
NIEHS,665,Male,United States,US,43.4,Government agency,Professional staff,Grants management,United States,North Carolina,PhD,Unknown,Unknown,2005-2009
NIEHS,699,Male,United States,US,20.5,Government agency,Professional staff,Primarily applied research,United States,North Carolina,PhD,Unknown,Unknown,2005-2009
NIEHS,703,Male,United States,US,33.6,Government agency,Professional staff,Primarily applied research,United States,North Carolina,PhD,Toxicology,Pharmacology/Toxicology,2005-2009
NIEHS,790,Male,United States,US,56.5,Government agency,Professional staff,Primarily basic research,United States,North Carolina,PhD,Unknown,Unknown,2005-2009
NIEHS,808,Male,United States,US,66,Government agency,Professional staff,Primarily clinical practice,United States,North Carolina,PhD,Unknown,Unknown,2005-2009
NIEHS,822,Male,United States,US,18.6,Government agency,Professional staff,Primarily basic research,United States,North Carolina,PhD,Toxicology,Pharmacology/Toxicology,2000-2004
NIEHS,924,Male,United States,US,25.1,Government agency,Professional staff,Primarily basic research,United States,North Carolina,PhD,Analytical Chemistry,Chemistry,2015-2019
NIEHS,934,Male,United States,US,26.6,Government agency,Professional staff,Grants management,United States,North Carolina,PhD,Pathology,Medicine/Veterinary Medicine/Pathology,2015-2019
NIEHS,966,Male,United States,US,71.8,Government agency,Professional staff,Primarily basic research,United States,North Carolina,PhD,Biochemistry and Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2015-2019
NIEHS,969,Male,United States,US,53.9,Government agency,Professional staff,Computation/informatics,United States,North Carolina,PhD,Molecular Toxicology,Pharmacology/Toxicology,2015-2019
NIEHS,196,Male,United States,US,34.7,Government agency,Professional staff,Computation/informatics,United States,Tennessee,PhD,Microbiology,Microbiology/Immunology,2005-2009
NIEHS,269,Female,Germany,International,44.5,Independent/self-employed,Professional staff,Other,United States,North Carolina,PhD,Unknown,Unknown,2000-2004
NIEHS,247,Male,India,International,55.5,Independent/self-employed,Professional staff,Science Writing or Communications,India,Pune,PhD,Biochemistry,Biochemistry/Cellular Biology/Molecular Biology,2010-2014
NIEHS,39,Female,United States,US,51.8,Independent/self-employed,Professional staff,Primarily applied research,United States,Colorado,PhD,Pharmacology,Pharmacology/Toxicology,2010-2014
NIEHS,1012,Female,United States,US,54.8,Independent/self-employed,Professional staff,Consulting,United States,Kentucky,PhD,Unknown,Unknown,2015-2019
NIEHS,10,Female,United States,US,19.2,Independent/self-employed,Professional staff,Consulting,United States,North Carolina,PhD,Cellular and Molecular Medicine,Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,245,Female,United States,US,45,Independent/self-employed,Professional staff,Consulting,United States,North Carolina,PhD,Biology,General Biology/Biomedical Science,2010-2014
NIEHS,805,Female,United States,US,34.5,Independent/self-employed,Professional staff,Consulting,United States,North Carolina,PhD,Biochemistry,Biochemistry/Cellular Biology/Molecular Biology,2010-2014
NIEHS,85,Male,United States,US,60,Independent/self-employed,Professional staff,Consulting,United States,California,PhD,Medical Pharmacology,Pharmacology/Toxicology,2015-2019
NIEHS,194,Male,United States,US,54.8,Independent/self-employed,Professional staff,Computation/informatics,United States,Missouri,PhD,Physical Chemistry,Chemistry,2005-2009
NIEHS,200,Male,United States,US,113.8,Independent/self-employed,Professional staff,Consulting,United States,North Carolina,PhD,Neurobiology,Neurobiology/Neuroscience,2005-2009
NIEHS,61,Male,United States,US,2.5,Independent/self-employed,Professional staff,Science writing or communications,United States,Ohio,PhD,Molecular and Cellular Biology,Biochemistry/Cellular Biology/Molecular Biology,2000-2004
NIEHS,51,Male,United States,US,60.3,Independent/self-employed,Professional staff,Consulting,United States,Tennessee,PhD,Pharmacology,Pharmacology/Toxicology,2000-2004
NIEHS,301,Female,Germany,International,24,Non-profit organization,Professional staff,Primarily basic research,Germany,Munich,PhD,Unknown,Unknown,2000-2004
NIEHS,199,Female,Netherlands,International,58,Non-profit organization,Professional staff,Primarily clinical research,Netherlands,Amsterdam,PhD,Unknown,Unknown,2005-2009
NIEHS,462,Female,United Kingdom,International,26,Non-profit organization,Professional staff,Primarily basic research,United Kingdom,Arundel,PhD,Neurobiology,Neurobiology/Neuroscience,2010-2014
NIEHS,105,Female,Canada,International,18.2,Non-profit organization,Professional staff,Primarily clinical practice,United Kingdom,Unknown,PhD,Unknown,Unknown,2000-2004
NIEHS,767,Female,Canada,International,22.9,Non-profit organization,Professional staff,Primarily clinical research,United States,District of Columbia,PhD,Epidemiology,Epidemiology,2000-2004
NIEHS,193,Female,Morocco,International,30.5,Non-profit organization,Professional staff,Science administration/project management,United States,Maryland,PhD,Nutrition/Immunology,Microbiology/Immunology,2000-2004
NIEHS,388,Female,Japan,International,46,Non-profit organization,Professional staff,Primarily basic research,United States,New York,PhD,Unknown,Unknown,2005-2009
NIEHS,507,Male,Japan,International,95.5,Non-profit organization,Professional staff,Primarily clinical research,Japan,Aichi,PhD,Unknown,Unknown,2005-2009
NIEHS,407,Male,Japan,International,11.7,Non-profit organization,Professional staff,Primarily clinical practice,Japan,Nishinomiya,MD;PhD,Medicine,Medicine/Veterinary Medicine/Pathology,2000-2004
NIEHS,655,Male,Netherlands,International,36.6,Non-profit organization,Professional staff,Primarily clinical practice,Netherlands,Utrecht,PhD,Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,458,Male,United Kingdom,International,17.5,Non-profit organization,Professional staff,Primarily clinical practice,United Kingdom,Tyne,PhD,Pharmacology,Pharmacology/Toxicology,2000-2004
NIEHS,728,Male,India,International,44,Non-profit organization,Professional staff,Primarily basic research,United States,California,PhD,Computational Biology,Computational Biology/Biostatistics/Bioinformatics,2010-2014
NIEHS,447,Male,China,International,59.9,Non-profit organization,Professional staff,Primarily basic research,United States,Florida,PhD,Unknown,Unknown,2005-2009
NIEHS,833,Male,Japan,International,36.9,Non-profit organization,Professional staff,Primarily clinical practice,United States,Florida,MD,Medicine,Medicine/Veterinary Medicine/Pathology,2005-2009
NIEHS,532,Male,Vietnam,International,60,Non-profit organization,Professional staff,Technical/customer support,United States,North Carolina,PhD,Biochemistry and Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2010-2014
NIEHS,679,Male,India,International,5.8,Non-profit organization,Professional staff,Primarily applied research,United States,Ohio,PhD,Immunology,Microbiology/Immunology,2010-2014
NIEHS,836,Male,China,International,39.5,Non-profit organization,Professional staff,Primarily basic research,United States,Texas,PhD,Unknown,Unknown,2005-2009
NIEHS,1013,Male,Vietnam,International,21,Non-profit organization,Professional staff,Consulting,Vietnam,Unknown,PhD,Biochemistry and Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2015-2019
NIEHS,721,Female,United States,US,4,Non-profit organization,Professional staff,Primarily applied research,Germany,Leipzig,PhD,Toxicology,Pharmacology/Toxicology,2010-2014
NIEHS,119,Female,United States,US,25.4,Non-profit organization,Professional staff,Primarily clinical research,United States,New York,PhD,Pharmacology,Pharmacology/Toxicology,2010-2014
NIEHS,545,Female,United States,US,2,Non-profit organization,Professional staff,Science writing or communications,United States,New York,PhD,"Molecular, Cell & Developmental Biology",Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,9,Female,United States,US,23.3,Non-profit organization,Professional staff,Primarily clinical practice,United States,North Carolina,PhD,Medicine;Pharmacology,Pharmacology/Toxicology,2000-2004
NIEHS,100,Female,United States,US,46.6,Non-profit organization,Professional staff,Science administration/project management,United States,North Carolina,PhD,Biochemistry,Biochemistry/Cellular Biology/Molecular Biology,2010-2014
NIEHS,152,Female,United States,US,28.3,Non-profit organization,Professional staff,Primarily clinical practice,United States,North Carolina,PhD,Toxicology,Pharmacology/Toxicology,2000-2004
NIEHS,223,Female,United States,US,7,Non-profit organization,Professional staff,Primarily Clinical Practice,United States,North Carolina,PhD,Microbiology and Immunology,Microbiology/Immunology,2010-2014
NIEHS,235,Female,United States,US,57.1,Non-profit organization,Professional staff,Primarily applied research,United States,North Carolina,PhD,Neurobiology,Neurobiology/Neuroscience,2005-2009
NIEHS,685,Female,United States,US,34.5,Non-profit organization,Professional staff,Science writing or communications,United States,North Carolina,PhD,Toxicology,Pharmacology/Toxicology,2010-2014
NIEHS,1031,Female,United States,US,24,Non-profit organization,Professional staff,Primarily clinical practice,United States,North Carolina,PhD,Unknown,Unknown,2015-2019
NIEHS,986,Female,United States,US,24,Non-profit organization,Professional staff,Primarily clinical research,United States,Ohio,PhD,Epidemiology,Epidemiology,2015-2019
NIEHS,1081,Male,United States,US,6,Non-profit organization,Professional staff,Primarily basic research,Italy,Bologna,PhD,Pharmacology and Toxicology,Pharmacology/Toxicology,2015-2019
NIEHS,365,Male,United States,US,6.4,Non-profit organization,Professional staff,Primarily clinical practice,United States,California,PhD,Unknown,Unknown,2005-2009
NIEHS,662,Male,United States,US,6.4,Non-profit organization,Professional staff,Primarily clinical practice,United States,District of Columbia,MD,Medicine,Medicine/Veterinary Medicine/Pathology,2000-2004
NIEHS,528,Male,United States,US,38,Non-profit organization,Professional staff,Primarily clinical research,United States,Florida,PhD,Cell/Cellular and Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2000-2004
NIEHS,683,Male,United States,US,67.8,Non-profit organization,Professional staff,Primarily basic research,United States,Florida,PhD,Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2000-2004
NIEHS,793,Male,United States,US,49.2,Non-profit organization,Professional staff,Primarily clinical practice,United States,North Carolina,PhD,Unknown,Unknown,2000-2004
NIEHS,998,Male,United States,US,59.9,Non-profit organization,Professional staff,Primarily clinical practice,United States,North Carolina,MD;PhD,Unknown,Unknown,2015-2019
NIEHS,572,Male,United States,US,24,Non-profit organization,Professional staff,Computation/informatics,United States,Pennsylvania,PhD,Biochemistry and Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,146,Male,United States,US,43.6,Non-profit organization,Professional staff,Technical/customer support,United States,Tennessee,PhD,Biochemistry,Biochemistry/Cellular Biology/Molecular Biology,2010-2014
NIEHS,842,Female,China,International,34.6,Academic institution,Support staff,Technical/customer support,United States,Alabama,MD,Medicine,Medicine/Veterinary Medicine/Pathology,2005-2009
NIEHS,78,Female,Unknown,International,52.9,Academic institution,Support staff,Primarily basic research,United States,North Carolina,PhD,Pharmacology,Pharmacology/Toxicology,2000-2004
NIEHS,874,Female,China,International,36,Academic institution,Support staff,Primarily basic research,United States,North Carolina,PhD,Unknown,Unknown,2005-2009
NIEHS,112,Female,United States,US,13.2,Academic institution,Support staff,Sales/Marketing,United States,New Jersey,PhD,Bioengineering,Biomedical/Medical Engineering,2010-2014
NIEHS,484,Male,United States,US,20.1,Academic institution,Support staff,Technical/customer support,United States,California,PhD,Cell Biology,Biochemistry/Cellular Biology/Molecular Biology,2010-2014
NIEHS,114,Male,United States,US,40,Academic institution,Support staff,Primarily basic research,United States,Georgia,PhD,Unknown,Unknown,2005-2009
NIEHS,72,Male,United States,US,30.7,Academic institution,Support staff,Primarily basic research,United States,Pennsylvania,PhD,Biology,General Biology/Biomedical Science,2005-2009
NIEHS,74,Male,United States,US,36.1,Academic institution,Support staff,Primarily clinical research,United States,Texas,PhD,Genetics & molecular biology,Genetics/Genomics,2010-2014
NIEHS,592,Female,India,International,44.8,For-profit company,Support staff,Other,Canada,Toronto,PhD,Biochemistry,Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,951,Female,China,International,93.7,For-profit company,Support staff,Primarily basic research,United States,North Carolina,MD;PhD,Toxicology,Pharmacology/Toxicology,2015-2019
NIEHS,13,Male,Canada,International,51.1,For-profit company,Support staff,Technical/customer support,Canada,Unknown,PhD,Cellular and molecular biology,Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,973,Male,Israel,International,96.9,For-profit company,Support staff,Primarily applied research,United States,Georgia,PhD,"Microbiology, Molecular Biology",Microbiology/Immunology,2015-2019
NIEHS,155,Male,United Kingdom,International,100,For-profit company,Support staff,Technical/Customer Support,United States,North Carolina,PhD,Immunology,Microbiology/Immunology,2010-2014
NIEHS,408,Male,Poland,International,36,For-profit company,Support staff,Technical/Customer Support,United States,North Carolina,PhD,Medical Sciences,General Biology/Biomedical Science,2010-2014
NIEHS,142,Female,United States,US,4.6,For-profit company,Support staff,Primarily applied research,United States,North Carolina,DVM,Veterinary Medicine,Medicine/Veterinary Medicine/Pathology,2010-2014
NIEHS,184,Male,United States,US,40.7,For-profit company,Support staff,Technical/customer support,United States,Michigan,PhD,Microbiology and Immunology,Microbiology/Immunology,2010-2014
NIEHS,404,Male,United States,US,40.7,For-profit company,Support staff,Technical/customer support,United States,North Carolina,PhD,Biochemistry,Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,491,Male,United States,US,13.2,For-profit company,Support staff,Sales/marketing,United States,North Carolina,PhD,Immunology,Microbiology/Immunology,2010-2014
NIEHS,16,Female,United States,US,59.3,Government agency,Support staff,Primarily basic research,United States,North Carolina,PhD,Biochemistry and Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,626,Female,United States,US,69.6,Government agency,Support staff,Primarily basic research,United States,North Carolina,PhD,Physiology,General Biology/Biomedical Science,2010-2014
NIEHS,686,Female,United States,US,40.8,Government agency,Support staff,Primarily basic research,United States,North Carolina,PhD,Microbiology,Microbiology/Immunology,2005-2009
NIEHS,820,Female,United States,US,43.6,Government agency,Support staff,Primarily basic research,United States,North Carolina,PhD,Molecular Pharmacology,Pharmacology/Toxicology,2010-2014
NIEHS,432,Male,United States,US,59.8,Government agency,Support staff,Primarily basic research,United States,North Carolina,MD,Medicine,Medicine/Veterinary Medicine/Pathology,2010-2014
NIEHS,778,Male,United States,US,22.5,Government agency,Support staff,Primarily basic research,United States,North Carolina,PhD,Biochemsitry and Structural Biology,Biochemistry/Cellular Biology/Molecular Biology,2010-2014
NIEHS,996,Female,Taiwan,International,55.8,Non-profit organization,Support staff,Primarily basic research,United States,North Carolina,PhD,"Biochemistry, Biophysics and Molecular Biology",Biochemistry/Cellular Biology/Molecular Biology,2015-2019
NIEHS,428,Female,United States,US,26.3,Non-profit organization,Support staff,Technical/customer support,United States,Florida,PhD,Neurobiology,Neurobiology/Neuroscience,2005-2009
NIEHS,418,Female,Brazil,International,15.1,Academic institution,Tenure track faculty,Primarily applied research,Brazil,Maringa,PhD,Biochemistry Pharmacy,Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,410,Female,Brazil,International,12.3,Academic institution,Tenure track faculty,Primarily applied research,Brazil,Recife,PhD,Physiology,General Biology/Biomedical Science,2005-2009
NIEHS,895,Female,Canada,International,59.9,Academic institution,Tenure track faculty,Primarily basic research,Canada,Hamilton,PhD,Biochemistry,Biochemistry/Cellular Biology/Molecular Biology,2015-2019
NIEHS,32,Female,Italy,International,47.7,Academic institution,Tenure track faculty,Primarily applied research,Canada,Montreal,PhD,Epidemiology,Epidemiology,2005-2009
NIEHS,635,Female,India,International,27.2,Academic institution,Tenure track faculty,Computation/informatics,Canada,Montreal,PhD,Biostatistics,Computational Biology/Biostatistics/Bioinformatics,2010-2014
NIEHS,420,Female,Canada,International,32.6,Academic institution,Tenure track faculty,Primarily applied research,Canada,Toronto,PhD,Epidemiology,Epidemiology,2005-2009
NIEHS,294,Female,Chile,International,10.5,Academic institution,Tenure track faculty,Primarily basic research,Chile,Santiago,PhD,"Biology/Biological Sciences, Physiology",General Biology/Biomedical Science,2000-2004
NIEHS,829,Female,China,International,25.2,Academic institution,Tenure track faculty,Primarily clinical research,China,Beijing,PhD,Unknown,Unknown,2005-2009
NIEHS,872,Female,China,International,14.2,Academic institution,Tenure track faculty,Primarily basic research,China,Beijing,MD,Unknown,Unknown,2005-2009
NIEHS,117,Female,China,International,91.5,Academic institution,Tenure track faculty,Primarily basic research,China,Chengdu,PhD,Unknown,Unknown,2005-2009
NIEHS,821,Female,China,International,36.4,Academic institution,Tenure track faculty,Primarily clinical research,China,Dalian,MD;PhD,Neurophysiology,Neurobiology/Neuroscience,2005-2009
NIEHS,226,Female,China,International,82.1,Academic institution,Tenure track faculty,Primarily basic research,China,Nanjing,MD;PhD,Unknown,Unknown,2010-2014
NIEHS,866,Female,China,International,47.9,Academic institution,Tenure track faculty,Primarily basic research,China,Shanghai,PhD,Unknown,Unknown,2010-2014
NIEHS,830,Female,China,International,45.7,Academic institution,Tenure track faculty,Primarily basic research,China,Shenyang,PhD,Occupational and Environmental Health,Environmental Science,2010-2014
NIEHS,870,Female,China,International,48,Academic institution,Tenure track faculty,Primarily basic research,China,Wenzhou,PhD,Toxicology and Pharmacology,Pharmacology/Toxicology,2010-2014
NIEHS,89,Female,Czech Republic,International,60,Academic institution,Tenure track faculty,Primarily basic research,Czech Republic,Ceske Budejovice,PhD,Genetics,Genetics/Genomics,2005-2009
NIEHS,217,Female,Germany,International,12.8,Academic institution,Tenure track faculty,Primarily basic research,Germany,D_sseldorf,PhD,Toxicology,Pharmacology/Toxicology,2000-2004
NIEHS,69,Female,Germany,International,38.3,Academic institution,Tenure track faculty,Primarily clinical research,Germany,Hamburg,PhD,Biochemistry,Biochemistry/Cellular Biology/Molecular Biology,2010-2014
NIEHS,873,Female,China,International,18.3,Academic institution,Tenure track faculty,Primarily applied research,Japan,Fukushima,PhD,Unknown,Unknown,2010-2014
NIEHS,768,Female,Japan,International,31.6,Academic institution,Tenure track faculty,Primarily clinical research,Japan,Niigata,PhD,"Nephrology, Rheumatology, Vascular biology",General Biology/Biomedical Science,2005-2009
NIEHS,548,Female,Japan,International,59.1,Academic institution,Tenure track faculty,Primarily basic research,Japan,Sasebo,PhD,Nutrition,Biochemistry/Cellular Biology/Molecular Biology,2010-2014
NIEHS,1052,Female,Japan,International,71.5,Academic institution,Tenure track faculty,Primarily basic research,Japan,Sendai,PhD,Unknown,Unknown,2015-2019
NIEHS,392,Female,Japan,International,57.7,Academic institution,Tenure track faculty,Primarily basic research,Japan,Toyama,PhD,Medical Sciences,General Biology/Biomedical Science,2005-2009
NIEHS,335,Female,Japan,International,29.3,Academic institution,Tenure track faculty,Primarily basic research,Japan,Yonago,MD,Unknown,Unknown,2000-2004
NIEHS,672,Female,Japan,International,24.7,Academic institution,Tenure track faculty,Primarily basic research,Japan,Yonago,PhD,Unknown,Unknown,2010-2014
NIEHS,956,Female,Japan,International,56.5,Academic institution,Tenure track faculty,Primarily basic research,Japan,Unknown,PhD,Unknown,Unknown,2015-2019
NIEHS,419,Female,Russia,International,35.9,Academic institution,Tenure track faculty,Primarily basic research,Russia,Novosibirsk,PhD,Biochemistry,Biochemistry/Cellular Biology/Molecular Biology,2000-2004
NIEHS,424,Female,South Korea,International,9.5,Academic institution,Tenure track faculty,Primarily basic research,South Korea,Busan,PhD,Physiology,General Biology/Biomedical Science,2000-2004
NIEHS,465,Female,Thailand,International,12,Academic institution,Tenure track faculty,Primarily basic research,Thailand,Chiang Mai,PhD,Physiology,General Biology/Biomedical Science,2005-2009
NIEHS,693,Female,Thailand,International,40.2,Academic institution,Tenure track faculty,Primarily basic research,Thailand,Unknown,PhD,Physiology,General Biology/Biomedical Science,2005-2009
NIEHS,701,Female,United Kingdom,International,60,Academic institution,Tenure track faculty,Primarily basic research,United Kingdom,Leicester,PhD,Molecular Pathology,Medicine/Veterinary Medicine/Pathology,2000-2004
NIEHS,698,Female,Argentina,International,51.4,Academic institution,Tenure track faculty,Primarily basic research,United States,California,PhD,Cancer Biology,Biochemistry/Cellular Biology/Molecular Biology,2000-2004
NIEHS,406,Female,Taiwan,International,37.7,Academic institution,Tenure track faculty,Primarily basic research,United States,Connecticut,PhD,Biostatistics,Computational Biology/Biostatistics/Bioinformatics,2010-2014
NIEHS,904,Female,Turkey,International,64.9,Academic institution,Tenure track faculty,Primarily basic research,United States,Florida,PhD,Unknown,Unknown,2015-2019
NIEHS,702,Female,Italy,International,95.8,Academic institution,Tenure track faculty,Primarily basic research,United States,Georgia,PhD,Molecular Genetics,Genetics/Genomics,2005-2009
NIEHS,106,Female,Japan,International,49,Academic institution,Tenure track faculty,Computation/informatics,United States,Illinois,PhD,Environmental  biology,Environmental Science,2010-2014
NIEHS,840,Female,China,International,65.4,Academic institution,Tenure track faculty,Primarily basic research,United States,Iowa,PhD,Cellular and Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,281,Female,Germany,International,19.4,Academic institution,Tenure track faculty,Primarily basic research,United States,Kentucky,PhD,Pharmacology,Pharmacology/Toxicology,2005-2009
NIEHS,770,Female,Japan,International,24.2,Academic institution,Tenure track faculty,Primarily basic research,United States,Louisiana,DVM;PhD,Veterinary Medicine;Veterinary Pathology,Medicine/Veterinary Medicine/Pathology,2005-2009
